Country Name,Year,TerrIdx
Yemen,2019,7.581
Pakistan,2019,7.541
Philippines,2019,7.099
Egypt,2019,6.419
Turkey,2019,6.11
Thailand,2019,5.783
Kenya,2019,5.644
United States,2019,5.26
United Kingdom,2019,5.161
Ukraine,2019,4.692
Indonesia,2019,4.629
France,2019,4.614
South Africa,2019,4.358
New Zealand,2019,4.337
Mexico,2019,4.316
Greece,2019,4.182
Tajikistan,2019,4.18
Germany,2019,3.965
Tunisia,2019,3.858
Lebanon,2019,3.661
Venezuela,2019,3.658
Uganda,2019,3.278
Canada,2019,3.171
Jordan,2019,3.149
Italy,2019,3.043
Sweden,2019,2.892
Ireland,2019,2.845
Spain,2019,2.81
Bolivia,2019,2.795
Netherlands,2019,2.689
Ecuador,2019,2.606
Paraguay,2019,2.414
Haiti,2019,2.355
Nicaragua,2019,2.355
Australia,2019,2.148
Peru,2019,2.141
Malaysia,2019,2.09
Honduras,2019,2.023
Japan,2019,2.014
Ghana,2019,1.743
Finland,2019,1.721
Malawi,2019,1.635
Denmark,2019,1.484
Norway,2019,1.297
Costa Rica,2019,1.066
Argentina,2019,1.024
Austria,2019,1.016
Albania,2019,0.677
Guatemala,2019,0.663
South Korea,2019,0.656
Georgia,2019,0.635
Morocco,2019,0.565
Hungary,2019,0.551
Armenia,2019,0.53
Guyana,2019,0.477
Vietnam,2019,0.42
Guinea,2019,0.41
Czech Republic,2019,0.315
Azerbaijan,2019,0.296
Switzerland,2019,0.286
Poland,2019,0.239
Jamaica,2019,0.229
Lithuania,2019,0.229
Sierra Leone,2019,0.229
Bulgaria,2019,0.172
Trinidad and Tobago,2019,0.162
Zambia,2019,0.153
Latvia,2019,0.115
Uruguay,2019,0.086
Estonia,2019,0.057
Lesotho,2019,0.048
Djibouti,2019,0.038
Panama,2019,0.019
Belarus,2019,0
Botswana,2019,0
Cambodia,2019,0
Croatia,2019,0
Dominican Republic,2019,0
El Salvador,2019,0
Iceland,2019,0
Mauritania,2019,0
Mauritius,2019,0
Portugal,2019,0
Romania,2019,0
Singapore,2019,0
Slovenia,2019,0
Gambia,2019,0
Turkmenistan,2019,0
Yemen,2018,7.581
Pakistan,2018,7.541
Philippines,2018,7.099
Egypt,2018,6.419
Turkey,2018,6.11
Thailand,2018,5.783
Kenya,2018,5.644
United States,2018,5.26
United Kingdom,2018,5.161
Ukraine,2018,4.692
Indonesia,2018,4.629
France,2018,4.614
South Africa,2018,4.358
New Zealand,2018,4.337
Mexico,2018,4.316
Greece,2018,4.182
Tajikistan,2018,4.18
Germany,2018,3.965
Tunisia,2018,3.858
Lebanon,2018,3.661
Venezuela,2018,3.658
Uganda,2018,3.278
Canada,2018,3.171
Jordan,2018,3.149
Italy,2018,3.043
Sweden,2018,2.892
Ireland,2018,2.845
Spain,2018,2.81
Bolivia,2018,2.795
Netherlands,2018,2.689
Ecuador,2018,2.606
Paraguay,2018,2.414
Haiti,2018,2.355
Nicaragua,2018,2.355
Australia,2018,2.148
Peru,2018,2.141
Malaysia,2018,2.09
Honduras,2018,2.023
Japan,2018,2.014
Ghana,2018,1.743
Finland,2018,1.721
Malawi,2018,1.635
Denmark,2018,1.484
Norway,2018,1.297
Costa Rica,2018,1.066
Argentina,2018,1.024
Austria,2018,1.016
Albania,2018,0.677
Guatemala,2018,0.663
South Korea,2018,0.656
Georgia,2018,0.635
Morocco,2018,0.565
Hungary,2018,0.551
Armenia,2018,0.53
Guyana,2018,0.477
Vietnam,2018,0.42
Guinea,2018,0.41
Czech Republic,2018,0.315
Azerbaijan,2018,0.296
Switzerland,2018,0.286
Poland,2018,0.239
Jamaica,2018,0.229
Lithuania,2018,0.229
Sierra Leone,2018,0.229
Bulgaria,2018,0.172
Trinidad and Tobago,2018,0.162
Zambia,2018,0.153
Latvia,2018,0.115
Macedonia,2018,0.105
Uruguay,2018,0.086
Estonia,2018,0.057
Lesotho,2018,0.048
Djibouti,2018,0.038
Panama,2018,0.019
Belarus,2018,0
Botswana,2018,0
Dominican Republic,2018,0
Gambia,2018,0
Croatia,2018,0
Iceland,2018,0
Cambodia,2018,0
Mauritania,2018,0
Mauritius,2018,0
Portugal,2018,0
Romania,2018,0
Singapore,2018,0
El Salvador,2018,0
Slovenia,2018,0
Swaziland,2018,0
Turkmenistan,2018,0
Pakistan,2017,7.889
Yemen,2017,7.259
Philippines,2017,7.137
Egypt,2017,6.794
Turkey,2017,6.533
Thailand,2017,6.029
Kenya,2017,5.756
United States,2017,5.691
Ukraine,2017,5.547
United Kingdom,2017,5.405
Indonesia,2017,5.07
France,2017,5.008
South Africa,2017,4.511
Lebanon,2017,4.395
Germany,2017,4.254
Greece,2017,4.167
Venezuela,2017,4.101
Mexico,2017,4.08
Uganda,2017,3.957
Tajikistan,2017,3.947
Tunisia,2017,3.938
Canada,2017,3.591
Sweden,2017,3.45
Bolivia,2017,3.387
Spain,2017,3.354
Paraguay,2017,3.119
Italy,2017,3.109
Jordan,2017,3.091
Nicaragua,2017,2.952
Peru,2017,2.84
Ireland,2017,2.692
Australia,2017,2.645
Malaysia,2017,2.495
Ecuador,2017,2.455
Netherlands,2017,2.347
Japan,2017,2.291
Haiti,2017,2.18
Finland,2017,2.026
Argentina,2017,1.68
Austria,2017,1.655
Ghana,2017,1.559
Georgia,2017,1.335
Guatemala,2017,1.331
Morocco,2017,1.215
Armenia,2017,1.173
Vietnam,2017,0.999
Honduras,2017,0.992
Guinea,2017,0.971
Denmark,2017,0.957
Czech Republic,2017,0.866
Azerbaijan,2017,0.698
Malawi,2017,0.663
Poland,2017,0.477
Jamaica,2017,0.472
Lithuania,2017,0.458
Sierra Leone,2017,0.458
Albania,2017,0.42
Bulgaria,2017,0.372
Djibouti,2017,0.32
Zambia,2017,0.305
Macedonia,2017,0.301
South Korea,2017,0.296
Latvia,2017,0.229
Switzerland,2017,0.191
Hungary,2017,0.181
Dominican Republic,2017,0.177
Uruguay,2017,0.172
New Zealand,2017,0.143
Estonia,2017,0.115
Lesotho,2017,0.095
Norway,2017,0.076
Guyana,2017,0.038
Panama,2017,0.038
Iceland,2017,0.029
Trinidad and Tobago,2017,0.019
Belarus,2017,0
Botswana,2017,0
Costa Rica,2017,0
Gambia,2017,0
Croatia,2017,0
Cambodia,2017,0
Mauritania,2017,0
Mauritius,2017,0
Portugal,2017,0
Romania,2017,0
Singapore,2017,0
El Salvador,2017,0
Slovenia,2017,0
Swaziland,2017,0
Turkmenistan,2017,0
Pakistan,2016,8.181
Yemen,2016,7.534
Egypt,2016,7.345
Philippines,2016,7.181
Turkey,2016,7.036
Thailand,2016,6.252
Kenya,2016,6.114
United States,2016,6.066
Ukraine,2016,6.048
United Kingdom,2016,5.61
France,2016,5.475
Lebanon,2016,5.154
Germany,2016,4.601
Indonesia,2016,4.543
Greece,2016,4.291
South Africa,2016,4.263
Tunisia,2016,4.088
Spain,2016,4.024
Sweden,2016,3.936
Uganda,2016,3.926
Venezuela,2016,3.665
Mexico,2016,3.533
Canada,2016,3.527
Paraguay,2016,3.443
Jordan,2016,3.404
Ireland,2016,3.045
Peru,2016,2.95
Japan,2016,2.926
Australia,2016,2.827
Italy,2016,2.736
Malaysia,2016,2.7
Finland,2016,2.501
Tajikistan,2016,2.233
Netherlands,2016,1.96
Austria,2016,1.852
Honduras,2016,1.714
Haiti,2016,1.714
Armenia,2016,1.692
Argentina,2016,1.68
Czech Republic,2016,1.562
Ecuador,2016,1.471
Georgia,2016,1.422
Jamaica,2016,1.091
Sierra Leone,2016,1.066
Albania,2016,1.008
Azerbaijan,2016,0.957
Denmark,2016,0.817
Nicaragua,2016,0.747
Poland,2016,0.719
Djibouti,2016,0.705
Vietnam,2016,0.663
Zambia,2016,0.663
Macedonia,2016,0.649
Latvia,2016,0.458
Malawi,2016,0.458
Dominican Republic,2016,0.382
Hungary,2016,0.363
Uruguay,2016,0.344
Guinea,2016,0.324
Bulgaria,2016,0.315
New Zealand,2016,0.286
Estonia,2016,0.229
Guatemala,2016,0.205
Lesotho,2016,0.191
Ghana,2016,0.162
Norway,2016,0.153
Switzerland,2016,0.134
Trinidad and Tobago,2016,0.124
Guyana,2016,0.076
Panama,2016,0.076
Iceland,2016,0.057
Morocco,2016,0.038
Cambodia,2016,0.019
Croatia,2016,0.014
Belarus,2016,0
Bolivia,2016,0
Botswana,2016,0
Costa Rica,2016,0
Gambia,2016,0
Lithuania,2016,0
Mauritania,2016,0
Mauritius,2016,0
Portugal,2016,0
Romania,2016,0
Singapore,2016,0
El Salvador,2016,0
Slovenia,2016,0
Swaziland,2016,0
Turkmenistan,2016,0
Pakistan,2015,8.366
Yemen,2015,7.846
Turkey,2015,7.497
Egypt,2015,7.17
Philippines,2015,7.106
Thailand,2015,6.589
Ukraine,2015,6.538
Kenya,2015,6.149
France,2015,5.941
Lebanon,2015,5.619
United States,2015,5.463
United Kingdom,2015,5.093
Germany,2015,4.919
Tunisia,2015,4.612
Indonesia,2015,4.537
Uganda,2015,4.302
Greece,2015,4.125
South Africa,2015,4.08
Jordan,2015,3.773
Sweden,2015,3.684
Venezuela,2015,3.626
Paraguay,2015,3.602
Japan,2015,3.584
Malaysia,2015,3.321
Mexico,2015,3.279
Ireland,2015,3.13
Australia,2015,3.081
Canada,2015,2.945
Italy,2015,2.74
Tajikistan,2015,2.561
Peru,2015,2.537
Netherlands,2015,2.402
Haiti,2015,2.39
Armenia,2015,2.364
Finland,2015,2.332
Georgia,2015,2.107
Ecuador,2015,1.886
Czech Republic,2015,1.881
Spain,2015,1.694
Honduras,2015,1.557
Austria,2015,1.517
Denmark,2015,1.507
Albania,2015,1.479
Nicaragua,2015,1.43
Macedonia,2015,1.182
Bulgaria,2015,1.173
Azerbaijan,2015,1.149
Djibouti,2015,1.115
Argentina,2015,0.971
Dominican Republic,2015,0.887
Hungary,2015,0.831
Uruguay,2015,0.775
Guinea,2015,0.719
Sierra Leone,2015,0.663
New Zealand,2015,0.607
Guatemala,2015,0.502
Estonia,2015,0.458
Lesotho,2015,0.382
Poland,2015,0.382
Ghana,2015,0.324
Switzerland,2015,0.267
Trinidad and Tobago,2015,0.248
Guyana,2015,0.153
Panama,2015,0.153
Iceland,2015,0.124
Morocco,2015,0.076
Jamaica,2015,0.057
Belarus,2015,0.038
Cambodia,2015,0.038
Croatia,2015,0.029
Bolivia,2015,0.019
Botswana,2015,0
Costa Rica,2015,0
Gambia,2015,0
Lithuania,2015,0
Latvia,2015,0
Mauritania,2015,0
Mauritius,2015,0
Malawi,2015,0
Norway,2015,0
Portugal,2015,0
Romania,2015,0
Singapore,2015,0
El Salvador,2015,0
Slovenia,2015,0
Swaziland,2015,0
Turkmenistan,2015,0
Vietnam,2015,0
Zambia,2015,0
Pakistan,2014,8.588
Yemen,2014,8.052
Egypt,2014,7.343
Ukraine,2014,7.11
Philippines,2014,7.078
Turkey,2014,6.718
Thailand,2014,6.683
Kenya,2014,6.559
Lebanon,2014,6.055
France,2014,5.767
United Kingdom,2014,5.056
United States,2014,5.027
Tunisia,2014,4.957
Indonesia,2014,4.482
Germany,2014,4.418
Uganda,2014,4.31
Greece,2014,4.203
Paraguay,2014,3.854
Sweden,2014,3.849
Mexico,2014,3.736
South Africa,2014,3.637
Ireland,2014,3.404
Australia,2014,3.186
Tajikistan,2014,3.077
Peru,2014,2.971
Jordan,2014,2.846
Malaysia,2014,2.682
Canada,2014,2.515
Japan,2014,2.437
Italy,2014,2.382
Finland,2014,2.367
Czech Republic,2014,2.172
Denmark,2014,2.145
Nicaragua,2014,2.087
Norway,2014,2.071
Venezuela,2014,2.046
Macedonia,2014,1.852
Djibouti,2014,1.773
Spain,2014,1.675
Bulgaria,2014,1.625
Dominican Republic,2014,1.557
Guinea,2014,1.397
Belarus,2014,1.351
Netherlands,2014,1.314
Georgia,2014,1.252
Guatemala,2014,1.14
Honduras,2014,1.14
Albania,2014,1.099
Estonia,2014,1.099
Lesotho,2014,0.887
Morocco,2014,0.887
Argentina,2014,0.831
Ecuador,2014,0.789
Trinidad and Tobago,2014,0.496
Azerbaijan,2014,0.344
Ghana,2014,0.344
Armenia,2014,0.286
Switzerland,2014,0.286
Iceland,2014,0.248
Hungary,2014,0.229
New Zealand,2014,0.229
Austria,2014,0.181
Jamaica,2014,0.115
Cambodia,2014,0.076
Mauritania,2014,0.067
Croatia,2014,0.057
Portugal,2014,0.057
Bolivia,2014,0.038
Botswana,2014,0
Costa Rica,2014,0
Gambia,2014,0
Guyana,2014,0
Haiti,2014,0
Lithuania,2014,0
Latvia,2014,0
Mauritius,2014,0
Malawi,2014,0
Panama,2014,0
Poland,2014,0
Romania,2014,0
Singapore,2014,0
Sierra Leone,2014,0
El Salvador,2014,0
Slovenia,2014,0
Swaziland,2014,0
Turkmenistan,2014,0
Uruguay,2014,0
Vietnam,2014,0
Zambia,2014,0
Pakistan,2013,8.843
Yemen,2013,7.436
Ukraine,2013,7.02
Philippines,2013,7.006
Thailand,2013,6.924
Kenya,2013,6.598
Egypt,2013,6.591
Lebanon,2013,6.177
Turkey,2013,5.454
United Kingdom,2013,5.06
Uganda,2013,4.921
United States,2013,4.643
Indonesia,2013,4.466
Greece,2013,4.213
Mexico,2013,3.889
South Africa,2013,3.725
France,2013,3.665
Tunisia,2013,3.591
Paraguay,2013,3.543
Ireland,2013,3.328
Malaysia,2013,3.024
Peru,2013,2.926
Australia,2013,2.758
Nicaragua,2013,2.739
Norway,2013,2.723
Germany,2013,2.717
Canada,2013,2.601
Italy,2013,2.593
Djibouti,2013,2.46
Dominican Republic,2013,2.204
Sweden,2013,2.119
Spain,2013,2.078
Belarus,2013,2.049
Bulgaria,2013,2.005
Georgia,2013,1.925
Czech Republic,2013,1.92
Macedonia,2013,1.832
Venezuela,2013,1.812
Guatemala,2013,1.802
Honduras,2013,1.802
Tajikistan,2013,1.711
Albania,2013,1.596
Jordan,2013,1.488
Argentina,2013,1.388
Morocco,2013,1.331
Azerbaijan,2013,0.775
Ghana,2013,0.775
Trinidad and Tobago,2013,0.775
Switzerland,2013,0.607
Iceland,2013,0.496
Ecuador,2013,0.477
Guinea,2013,0.458
Hungary,2013,0.458
New Zealand,2013,0.458
Austria,2013,0.363
Netherlands,2013,0.277
Jamaica,2013,0.229
Mauritania,2013,0.191
Cambodia,2013,0.153
Armenia,2013,0.115
Croatia,2013,0.115
Portugal,2013,0.115
Denmark,2013,0.091
Bolivia,2013,0.076
Estonia,2013,0.076
Poland,2013,0.043
Botswana,2013,0
Costa Rica,2013,0
Finland,2013,0
Gambia,2013,0
Guyana,2013,0
Haiti,2013,0
Japan,2013,0
Lesotho,2013,0
Lithuania,2013,0
Latvia,2013,0
Mauritius,2013,0
Malawi,2013,0
Panama,2013,0
Romania,2013,0
Singapore,2013,0
Sierra Leone,2013,0
El Salvador,2013,0
Slovenia,2013,0
Swaziland,2013,0
Turkmenistan,2013,0
Uruguay,2013,0
Vietnam,2013,0
Zambia,2013,0
Pakistan,2012,8.894
Yemen,2012,6.978
Philippines,2012,6.924
Thailand,2012,6.831
Kenya,2012,6.236
Egypt,2012,6.137
Lebanon,2012,6.081
Turkey,2012,5.635
United Kingdom,2012,4.974
United States,2012,4.571
Greece,2012,4.511
Mexico,2012,4.494
Indonesia,2012,4.479
France,2012,3.793
Paraguay,2012,3.48
Tunisia,2012,3.428
Norway,2012,3.4
Uganda,2012,3.014
Ireland,2012,2.983
South Africa,2012,2.933
Malaysia,2012,2.873
Peru,2012,2.787
Belarus,2012,2.694
Ukraine,2012,2.667
Italy,2012,2.515
Guatemala,2012,2.495
Bulgaria,2012,2.46
Georgia,2012,2.45
Honduras,2012,2.246
Morocco,2012,2.017
Tajikistan,2012,1.866
Spain,2012,1.734
Argentina,2012,1.64
Trinidad and Tobago,2012,1.463
Jordan,2012,1.38
Macedonia,2012,1.359
Venezuela,2012,1.31
Switzerland,2012,1.264
Germany,2012,1.182
Canada,2012,1.132
Ecuador,2012,1.124
Guinea,2012,1.066
Sweden,2012,1.024
Austria,2012,1.004
Czech Republic,2012,0.761
Netherlands,2012,0.551
Mauritania,2012,0.537
Dominican Republic,2012,0.458
Cambodia,2012,0.305
Armenia,2012,0.267
Bolivia,2012,0.234
Croatia,2012,0.229
Portugal,2012,0.229
Albania,2012,0.181
Denmark,2012,0.181
Estonia,2012,0.153
Poland,2012,0.086
Iceland,2012,0.076
Australia,2012,0.067
Hungary,2012,0.067
Azerbaijan,2012,0.057
Panama,2012,0.038
Japan,2012,0.01
Lesotho,2012,0.01
Botswana,2012,0
Costa Rica,2012,0
Djibouti,2012,0
Finland,2012,0
Ghana,2012,0
Gambia,2012,0
Guyana,2012,0
Haiti,2012,0
Jamaica,2012,0
Lithuania,2012,0
Latvia,2012,0
Mauritius,2012,0
Malawi,2012,0
Nicaragua,2012,0
New Zealand,2012,0
Romania,2012,0
Singapore,2012,0
Sierra Leone,2012,0
El Salvador,2012,0
Slovenia,2012,0
Swaziland,2012,0
Turkmenistan,2012,0
Uruguay,2012,0
Vietnam,2012,0
Zambia,2012,0
Pakistan,2011,8.668
Yemen,2011,6.834
Thailand,2011,6.776
Philippines,2011,6.408
Kenya,2011,5.764
Turkey,2011,5.764
Egypt,2011,4.601
Indonesia,2011,4.453
United Kingdom,2011,4.289
Lebanon,2011,4.175
Greece,2011,4.078
Norway,2011,4.066
France,2011,4.015
United States,2011,3.741
Uganda,2011,3.669
Belarus,2011,3.393
Mexico,2011,3.353
Tunisia,2011,3.061
Bulgaria,2011,3.01
Ukraine,2011,2.985
Georgia,2011,2.829
Ireland,2011,2.769
Morocco,2011,2.656
Italy,2011,2.655
Peru,2011,2.642
Tajikistan,2011,2.542
South Africa,2011,2.347
Spain,2011,2.234
Macedonia,2011,2.109
Paraguay,2011,2.035
Jordan,2011,1.93
Germany,2011,1.871
Malaysia,2011,1.798
Sweden,2011,1.68
Guatemala,2011,1.517
Argentina,2011,1.347
Honduras,2011,1.306
Netherlands,2011,1.223
Mauritania,2011,1.19
Venezuela,2011,1.19
Canada,2011,1.066
Austria,2011,0.635
Ecuador,2011,0.472
Bolivia,2011,0.468
Switzerland,2011,0.458
Portugal,2011,0.458
Guyana,2011,0.406
Azerbaijan,2011,0.339
Estonia,2011,0.305
Czech Republic,2011,0.248
Hungary,2011,0.172
Poland,2011,0.172
Australia,2011,0.162
Iceland,2011,0.153
Armenia,2011,0.076
Denmark,2011,0.076
Panama,2011,0.076
Albania,2011,0.057
Japan,2011,0.057
Cambodia,2011,0.057
New Zealand,2011,0.048
Croatia,2011,0.038
Finland,2011,0.033
Swaziland,2011,0.029
Lesotho,2011,0.019
Romania,2011,0.014
Botswana,2011,0
Costa Rica,2011,0
Djibouti,2011,0
Dominican Republic,2011,0
Ghana,2011,0
Guinea,2011,0
Gambia,2011,0
Haiti,2011,0
Jamaica,2011,0
